name,author,category,rank,read,link
The Coaching Philosophies of LVG and the Ajax Coaches,Henny Kormelink,football,3,,http://www.amazon.com/gp/product/1890946036?colid=1MNJT53RW6LHQ&coliid=I1OLDZ9BEUUEFJ&ref_=wl_it_dp_o_pC_S_ttl
FC Barcelona - A Tactical Analysis: Attacking,Tersiz Athanasios,football,2,,http://www.amazon.com/gp/product/0956675239?colid=1MNJT53RW6LHQ&coliid=IO96MU54V63R2&ref_=wl_it_dp_o_pC_S_ttl
Arsene Wenger: The Authorized Biography,Xavier Rivoire,biography,5,,http://www.amazon.com/gp/product/1845133390?colid=1MNJT53RW6LHQ&coliid=I3OL8B57695N6T&ref_=wl_it_dp_o_pd_S_ttl
The Intelligent Investor,Ben Graham,finance,3,,http://www.amazon.com/gp/product/B000FC12C8?colid=37GZ0Q8AZVOZ8&coliid=I1NJYJN3VPTRJU&ref_=wl_it_dp_o_pC_nS_ttl
The Great Transformation: The Political and Economic Origins of Our Time,Karl Polanyi,finance,3,,http://www.amazon.com/gp/product/080705643X?colid=37GZ0Q8AZVOZ8&coliid=I11XTRKFRLR7CS&ref_=wl_it_dp_o_pC_nS_ttl
Brave New War,John Robb,politics,2,,http://www.amazon.com/gp/product/0471780790?colid=37GZ0Q8AZVOZ8&coliid=IEDSQ1PG6Q07&ref_=wl_it_dp_o_pC_S_ttl
The Diamond Age,Neal Stephenson,science-fiction,4,,http://www.amazon.com/gp/product/0553096095?colid=FPQHKBWL424H&coliid=I1S6E86V3LZKAB&ref_=wl_it_dp_o_pC_nS_ttl
Salvage the Bones,Jesmyn Ward,fiction,3,,http://www.amazon.com/gp/product/1608196267?colid=FPQHKBWL424H&coliid=I119N6PUXZRUVO&ref_=wl_it_dp_o_pd_nS_ttl
The Faraway Nearby,Rebecca Solnit,fiction,3,,http://www.amazon.com/gp/product/0143125494?colid=FPQHKBWL424H&coliid=I2Q5AW2LBKG8O1&ref_=wl_it_dp_o_pd_S_ttl
A Confederacy of Dunces,John Kennedy Toole,fiction,3,,http://www.amazon.com/gp/product/0807126063?colid=2LMPXLZ7PRY8&coliid=IXQ0BDIUW5CIM&ref_=wl_it_dp_o_pC_nS_ttl
The Third Policeman,Flann O'Brien,fiction,3,,http://www.amazon.com/gp/product/156478214X?colid=2LMPXLZ7PRY8&coliid=I2E24SZRZBHEEL&ref_=wl_it_dp_o_pd_nS_ttl
Crash: A Novel,J.G. Ballard,science-fiction,4,,http://www.amazon.com/gp/product/0312420331?colid=2LMPXLZ7PRY8&coliid=IW98Z1MFKLX6H&ref_=wl_it_dp_o_pC_nS_ttl
